Name:     Description:
eagle2    "Eagle (set 2)"
moonqsr   "Moon Quasar"
checkman  "Checkman"
checkmaj  "Checkman (Japan)"
streakng  "Streaking"
blkhole   "Black Hole"
moonal2   "Moon Alien Part 2"
moonal2b  "Moon Alien Part 2 (older version)"
kingball  "King & Balloon (US)"
kingbalj  "King & Balloon (Japan)"
scramble  "Scramble"
scrambls  "Scramble (Stern)"
scramblb  "Scramble (bootleg on Galaxian hardware)"
atlantis  "Battle of Atlantis (set 1)"
atlants2  "Battle of Atlantis (set 2)"
theend    "End, The"
theends   "End, The (Stern)"
ckongs    "Crazy Kong (Scramble hardware)"
froggers  "Frog"
amidars   "Amidar (Scramble hardware)"
triplep   "Triple Punch"
knockout  "Knock Out !!"
mariner   "Mariner"
800fath   "800 Fathoms"
mars      "Mars"
devilfsh  "Devil Fish"
newsin7   "New Sinbad 7"
hotshock  "Hot Shocker"
hunchbks  "Hunchback (Scramble hardware)"
scobra    "Super Cobra"
scobras   "Super Cobra (Stern)"
scobrab   "Super Cobra (bootleg)"
stratgyx  "Strategy X"
stratgys  "Strategy X (Stern)"
armorcar  "Armored Car (set 1)"
armorca2  "Armored Car (set 2)"
moonwar2  "Moon War II (set 1)"
monwar2a  "Moon War II (set 2)"
spdcoin   "Speed Coin (prototype)"
darkplnt  "Dark Planet"
tazmania  "Tazz-Mania (Scramble hardware)"
tazmani2  "Tazz-Mania (Strategy X hardware)"
calipso   "Calipso"
anteater  "Anteater"
rescue    "Rescue"
minefld   "Minefield"
losttomb  "Lost Tomb (easy)"
losttmbh  "Lost Tomb (hard)"
superbon  "Super Bond"
hustler   "Video Hustler"
billiard  "Billiards, The"
hustlerb  "Video Hustler (bootleg)"
frogger   "Frogger"
frogseg1  "Frogger (Sega set 1)"
frogseg2  "Frogger (Sega set 2)"
froggrmc  "Frogger (modified Moon Cresta hardware)"
amidar    "Amidar"
amidaru   "Amidar (Stern)"
amidaro   "Amidar (Olympia)"
amigo     "Amigo"
turtles   "Turtles"
turpin    "Turpin"
600       "600"
flyboy    "Fly-Boy"
flyboyb   "Fly-Boy (bootleg)"
fastfred  "Fast Freddie"
jumpcoas  "Jump Coaster"
cclimber  "Crazy Climber (US)"
cclimbrj  "Crazy Climber (Japan)"
ccboot    "Crazy Climber (bootleg set 1)"
ccboot2   "Crazy Climber (bootleg set 2)"
ckong     "Crazy Kong (set 1)"
ckonga    "Crazy Kong (set 2)"
ckongjeu  "Crazy Kong (Jeutel bootleg)"
ckongo    "Crazy Kong (Orca bootleg)"
ckongalc  "Crazy Kong (Alca bootleg)"
monkeyd   "Monkey Donkey"
rpatrolb  "River Patrol (bootleg)"
silvland  "Silver Land"
yamato    "Yamato (set 1)"
yamato2   "Yamato (set 2)"
swimmer   "Swimmer (set 1)"
swimmera  "Swimmer (set 2)"
guzzler   "Guzzler"
friskyt   "Frisky Tom"
radrad    "Radical Radial"
seicross  "Seicross"
sectrzon  "Sector Zone"
wiping    "Wiping"
rugrats   "Rug Rats"
cop01     "Cop 01 (set 1)"
cop01a    "Cop 01 (set 2)"
terracre  "Terra Cresta (YM3526 set 1)"
terracrb  "Terra Cresta (YM3526 set 2)"
terracra  "Terra Cresta (YM2203)"
galivan   "Galivan - Cosmo Police (12/16/1985)"
galivan2  "Galivan - Cosmo Police (12/11/1985)"
dangar    "Dangar - Ufo Robo (12/1/1986)"
dangar2   "Dangar - Ufo Robo (9/26/1986)"
dangarb   "Dangar - Ufo Robo (bootleg)"
ninjemak  "Ninja Emaki (US)"
youma     "Youma Ninpou Chou (Japan)"
terraf    "Terra Force"
terrafu   "Terra Force (US)"
kodure    "Kodure Ookami (Japan)"
armedf    "Armed Formation"
cclimbr2  "Crazy Climber 2 (Japan)"
safarir   "Safari Rally"
phoenix   "Phoenix (Amstar)"
phoenixa  "Phoenix (Centuri)"
phoenixt  "Phoenix (Taito)"
phoenix3  "Phoenix (T.P.N.)"
phoenixc  "Phoenix (IRECSA, G.G.I Corp)"
pleiads   "Pleiads (Tehkan)"
pleiadbl  "Pleiads (bootleg)"
pleiadce  "Pleiads (Centuri)"
naughtyb  "Naughty Boy"
naughtya  "Naughty Boy (bootleg)"
naughtyc  "Naughty Boy (Cinematronics)"
popflame  "Pop Flamer (set 1)"
popflama  "Pop Flamer (set 2)"
geebee    "Gee Bee"
geebeeg   "Gee Bee (Gremlin)"
bombbee   "Bomb Bee"
cutieq    "Cutie Q"
navalone  "Navalone"
kaitei    "Kaitei Takara Sagashi"
kaitein   "Kaitei Takara Sagashi (Namco)"
sos       "SOS"
tankbatt  "Tank Battalion"
warpwarp  "Warp & Warp"
warpwarr  "Warp Warp (Rock-ola set 1)"
warpwar2  "Warp Warp (Rock-ola set 2)"
rallyx    "Rally X"
rallyxm   "Rally X (Midway)"
nrallyx   "New Rally X"
jungler   "Jungler"
junglers  "Jungler (Stern)"
locomotn  "Loco-Motion"
gutangtn  "Guttang Gottong"
cottong   "Cotocoto Cottong"
commsega  "Commando (Sega)"
bosco     "Bosconian (new version)"
boscoo    "Bosconian (old version)"
boscoo2   "Bosconian (older version)"
boscomd   "Bosconian (Midway, new version)"
boscomdo  "Bosconian (Midway, old version)"
galaga    "Galaga (Namco)"
galagamw  "Galaga (Midway)"
galagads  "Galaga (fast shoot)"
gallag    "Gallag"
galagab2  "Galaga (bootleg)"
galaga84  "Galaga '84"
nebulbee  "Nebulous Bee"
digdug    "Dig Dug (set 1)"
digdugb   "Dig Dug (set 2)"
digdugat  "Dig Dug (Atari)"
dzigzag   "Zig Zag (Dig Dug hardware)"
xevious   "Xevious (Namco)"
xeviousa  "Xevious (Atari)"
xevios    "Xevios"
sxevious  "Super Xevious"
superpac  "Super Pac-Man"
superpcm  "Super Pac-Man (Midway)"
pacnpal   "Pac & Pal"
pacnpal2  "Pac & Pal (older)"
pacnchmp  "Pac-Man & Chomp Chomp"
phozon    "Phozon"
mappy     "Mappy (US)"
mappyjp   "Mappy (Japan)"
digdug2   "Dig Dug II (set 1)"
digdug2a  "Dig Dug II (set 2)"
todruaga  "Tower of Druaga (set 1)"
todruagb  "Tower of Druaga (set 2)"
motos     "Motos"
grobda    "Grobda (New version)"
grobda2   "Grobda (Old version set 1)"
grobda3   "Grobda (Old version set 2)"
gaplus    "Gaplus (set 1)"
gaplusa   "Gaplus (set 2)"
galaga3   "Galaga 3 (set 1)"
galaga3a  "Galaga 3 (set 2)"
toypop    "Toypop"
polepos   "Pole Position"
poleposa  "Pole Position (Atari version 2)"
polepos1  "Pole Position (Atari version 1)"
topracer  "Top Racer"
polepos2  "Pole Position II"
poleps2a  "Pole Position II (Atari)"
poleps2b  "Pole Position II (Atari bootleg 1)"
poleps2c  "Pole Position II (Atari bootleg 2)"
pacland   "Pac-Land (set 1)"
pacland2  "Pac-Land (set 2)"
pacland3  "Pac-Land (set 3)"
paclandm  "Pac-Land (Midway)"
drgnbstr  "Dragon Buster"
skykid    "Sky Kid"
baraduke  "Baraduke"
metrocrs  "Metro-Cross"
hopmappy  "Hopping Mappy"
skykiddx  "Sky Kid Deluxe (set 1)"
skykiddo  "Sky Kid Deluxe (set 2)"
roishtar  "Return of Ishtar, The"
genpeitd  "Genpei ToumaDen"
rthunder  "Rolling Thunder (new version)"
rthundro  "Rolling Thunder (old version)"
wndrmomo  "Wonder Momo"
shadowld  "Shadow Land"
youkaidk  "Yokai Douchuuki (Japan new version)"
yokaidko  "Yokai Douchuuki (Japan old version)"
dspirit   "Dragon Spirit (new version)"
dspirito  "Dragon Spirit (old version)"
blazer    "Blazer (Japan)"
quester   "Quester (Japan)"
pacmania  "Pac-Mania"
pacmanij  "Pac-Mania (Japan)"
galaga88  "Galaga '88 (set 1)"
galag88b  "Galaga '88 (set 2)"
galag88j  "Galaga '88 (Japan)"
ws        "World Stadium (Japan)"
berabohm  "Beraboh Man (Japan)"
mmaze     "Marchen Maze (Japan)"
wldcourt  "World Court (Japan)"
splatter  "Splatter House (Japan)"
faceoff   "Face Off (Japan)"
rompers   "Rompers (Japan)"
romperso  "Rompers (Japan old version)"
blastoff  "Blast Off (Japan)"
ws89      "World Stadium '89 (Japan)"
dangseed  "Dangerous Seed (Japan)"
ws90      "World Stadium '90 (Japan)"
pistoldm  "Pistol Daimyo no Bouken (Japan)"
soukobdx  "Souko Ban Deluxe (Japan)"
puzlclub  "Puzzle Club (Japan prototype)"
tankfrce  "Tank Force (US)"
tankfrcj  "Tank Force (Japan)"
assault   "Assault"
assaultj  "Assault (Japan)"
assaultp  "Assault Plus (Japan)"
mirninja  "Mirai Ninja (Japan)"
ordyne    "Ordyne (Japan)"
phelios   "Phelios (Japan)"
burnforc  "Burning Force (Japan)"
finehour  "Finest Hour (Japan)"
marvland  "Marvel Land (US)"
marvlanj  "Marvel Land (Japan)"
valkyrie  "Legend of the Valkyrie (Japan)"
kyukaidk  "Kyuukai Douchuuki (Japan new version)"
kyukaido  "Kyuukai Douchuuki (Japan old version)"
dsaber    "Dragon Saber"
dsaberj   "Dragon Saber (Japan)"
rthun2    "Rolling Thunder 2"
rthun2j   "Rolling Thunder 2 (Japan)"
cosmogng  "Cosmo Gang the Video (US)"
cosmognj  "Cosmo Gang the Video (Japan)"
sws92     "Super World Stadium '92 (Japan)"
sws93     "Super World Stadium '93 (Japan)"
cosmicg   "Cosmic Guerilla"
cosmica   "Cosmic Alien"
cosmica2  "Cosmic Alien (older)"
panic     "Space Panic (set 1)"
panica    "Space Panic (set 2)"
panicger  "Space Panic (German)"
magspot2  "Magical Spot II"
devzone   "Devil Zone"
nomnlnd   "No Man's Land"
nomnlndg  "No Man's Land (Gottlieb)"
cheekyms  "Cheeky Mouse"
ladybug   "Lady Bug"
ladybugb  "Lady Bug (bootleg)"
snapjack  "Snap Jack"
cavenger  "Cosmic Avenger"
mrdo      "Mr. Do! (Universal)"
mrdot     "Mr. Do! (Taito)"
mrdofix   "Mr. Do! (bugfixed)"
mrlo      "Mr. Lo!"
mrdu      "Mr. Du!"
mrdoy     "Mr. Do! (Yukidaruma)"
yankeedo  "Yankee DO!"
docastle  "Mr. Do's Castle (set 1)"
docastl2  "Mr. Do's Castle (set 2)"
douni     "Mr. Do vs. Unicorns"
dorunrun  "Do! Run Run (set 1)"
dorunru2  "Do! Run Run (set 2)"
dorunruc  "Do! Run Run (Do's Castle hardware)"
spiero    "Super Pierrot (Japan)"
dowild    "Mr. Do's Wild Ride"
jjack     "Jumping Jack"
kickridr  "Kick Rider"
radarscp  "Radar Scope"
dkong     "Donkey Kong (US)"
dkongjp   "Donkey Kong (Japan set 1)"
dkongjpo  "Donkey Kong (Japan set 2)"
dkongjr   "Donkey Kong Junior (US)"
dkngjrjp  "Donkey Kong Jr. (Original Japanese)"
dkjrjp    "Donkey Kong Junior (Japan)"
dkjrbl    "Donkey Kong Junior (bootleg?)"
dkong3    "Donkey Kong 3 (US)"
dkong3j   "Donkey Kong 3 (Japan)"
mario     "Mario Bros. (US)"
mariojp   "Mario Bros. (Japan)"
masao     "Masao"
hunchbkd  "Hunchback (Donkey Kong conversion)"
herbiedk  "Herbie at the Olympics (DK conversion)"
popeye    "Popeye (set 1)"
popeye2   "Popeye (set 2)"
popeyebl  "Popeye (bootleg)"
punchout  "Punch-Out!!"
spnchout  "Super Punch-Out!!"
spnchotj  "Super Punch-Out!! (Japan)"
armwrest  "Arm Wrestling"
seawolf   "Sea Wolf"
gunfight  "Gun Fight"
tornbase  "Tornado Baseball"
280zzzap  "Datsun 280 Zzzap"
maze      "Amazing Maze"
boothill  "Boot Hill"
checkmat  "Checkmate"
desertgu  "Desert Gun"
dplay     "Double Play"
lagunar   "Laguna Racer"
gmissile  "Guided Missile"
m4        "M-4"
clowns    "Clowns"
einnings  "Extra Innings"
shuffle   "Shuffleboard"
dogpatch  "Dog Patch"
spcenctr  "Space Encounters"
phantom2  "Phantom II"
bowler    "4 Player Bowling"
invaders  "Space Invaders"
blueshrk  "Blue Shark"
invad2ct  "Space Invaders II (Midway, cocktail)"
invadpt2  "Space Invaders Part II (Taito)"
invaddlx  "Space Invaders Deluxe"
moonbase  "Moon Base"
earthinv  "Super Earth Invasion"
spaceatt  "Space Attack II"
sinvzen   "Super Invaders (Zenitone-Microsec)"
superinv  "Super Invaders"
sinvemag  "Super Invaders (EMAG)"
jspecter  "Jatre Specter"
invrvnge  "Invader's Revenge"
invrvnga  "Invader's Revenge (Dutchford)"
galxwars  "Galaxy Wars"
starw     "Star Wars"
lrescue   "Lunar Rescue"
grescue   "Galaxy Rescue"
desterth  "Destination Earth"
cosmicmo  "Cosmic Monsters"
rollingc  "Rolling Crash / Moon Base"
sheriff   "Sheriff"
bandido   "Bandido"
ozmawars  "Ozma Wars"
solfight  "Solar Fight"
spaceph   "Space Phantoms"
schaser   "Space Chaser"
schasrcv  "Space Chaser (CV version)"
lupin3    "Lupin III"
helifire  "HeliFire (revision B)"
helifira  "HeliFire (revision A)"
spacefev  "Space Fever (color)"
sfeverbw  "Space Fever (black and white)"
spclaser  "Space Laser"
laser     "Laser"
spcewarl  "Space War (Leijac)"
polaris   "Polaris (set 1)"
polarisa  "Polaris (set 2)"
ballbomb  "Balloon Bomber"
m79amb    "M79 Ambush"
alieninv  "Alien Invasion Part II"
sitv      "Space Invaders (TV Version)"
sicv      "Space Invaders (CV Version)"
sisv      "Space Invaders (SV Version)"
sisv2     "Space Invaders (SV Version 2)"
spacewr3  "Space War Part 3"
invaderl  "Space Invaders (Logitec)"
yosakdon  "Yosaku To Donbee (bootleg)"
spceking  "Space King"
spcewars  "Space War (Sanritsu)"
astinvad  "Astro Invader"
kamikaze  "Kamikaze"
spaceint  "Space Intruder"
lazercmd  "Lazer Command"
deadeye   "Dead Eye"
gypsyjug  "Gypsy Juggler"
medlanes  "Meadows Lanes"
seawolf2  "Sea Wolf II"
spacezap  "Space Zap"
ebases    "Extra Bases"
wow       "Wizard of Wor"
gorf      "Gorf"
gorfpgm1  "Gorf (Program 1)"
robby     "Robby Roto"
solarfox  "Solar Fox"
kick      "Kick (upright)"
kicka     "Kick (cocktail)"
shollow   "Satan's Hollow (set 1)"
shollow2  "Satan's Hollow (set 2)"
tron      "Tron (set 1)"
tron2     "Tron (set 2)"
kroozr    "Kozmik Kroozr"
domino    "Domino Man"
wacko     "Wacko"
twotiger  "Two Tigers"
journey   "Journey"
tapper    "Tapper (Budweiser)"
tappera   "Tapper (alternate)"
sutapper  "Tapper (Suntory)"
rbtapper  "Tapper (Root Beer)"
timber    "Timber"
dotron    "Discs of Tron (Upright)"
dotrone   "Discs of Tron (Environmental)"
destderb  "Demolition Derby"
destderm  "Demolition Derby (2-Player Mono Board Version)"
sarge     "Sarge"
rampage   "Rampage (revision 3)"
rampage2  "Rampage (revision 2)"
powerdrv  "Power Drive"
maxrpm    "Max RPM"
spyhunt   "Spy Hunter"
turbotag  "Turbo Tag (Prototype)"
crater    "Crater Raider"
zwackery  "Zwackery"
xenophob  "Xenophobe"
spyhunt2  "Spy Hunter 2 (rev 2)"
spyhnt2a  "Spy Hunter 2 (rev 1)"
blasted   "Blasted"
archrivl  "Arch Rivals (rev 4.0)"
archriv2  "Arch Rivals (rev 2.0)"
trisport  "Tri-Sports"
pigskin   "Pigskin 621AD"
sentetst  "Sente Diagnostic Cartridge"
cshift    "Chicken Shift"
gghost    "Goalie Ghost"
hattrick  "Hat Trick"
otwalls   "Off the Wall (Sente)"
snakepit  "Snake Pit"
snakjack  "Snacks'n Jaxson"
stocker   "Stocker"
triviag1  "Trivial Pursuit (Genus I)"
triviag2  "Trivial Pursuit (Genus II)"
triviasp  "Trivial Pursuit (All Star Sports Edition)"
triviayp  "Trivial Pursuit (Young Players Edition)"
triviabb  "Trivial Pursuit (Baby Boomer Edition)"
gimeabrk  "Gimme A Break"
minigolf  "Mini Golf (set 1)"
minigol2  "Mini Golf (set 2)"
toggle    "Toggle"
nametune  "Name That Tune"
nstocker  "Night Stocker"
sfootbal  "Street Football"
spiker    "Spiker"
rescraid  "Rescue Raider"
rescrdsa  "Rescue Raider (Stand-Alone)"
skychut   "Sky Chuter"
redalert  "Red Alert"
olibochu  "Oli-Boo-Chu"
mpatrol   "Moon Patrol"
mpatrolw  "Moon Patrol (Williams)"
mranger   "Moon Ranger"
troangel  "Tropical Angel"
yard      "10 Yard Fight"
vsyard    "10 Yard Fight (Vs. version 11/05/84)"
vsyard2   "10 Yard Fight (Vs. version, set 2)"
travrusa  "Traverse USA / Zippy Race"
motorace  "MotoRace USA"
kungfum   "Kung Fu Master"
kungfud   "Kung Fu Master (Data East)"
spartanx  "Spartan X (Japan)"
kungfub   "Kung Fu Master (bootleg set 1)"
kungfub2  "Kung Fu Master (bootleg set 2)"
battroad  "Battle-Road, The"
ldrun     "Lode Runner (set 1)"
ldruna    "Lode Runner (set 2)"
ldrun2    "Lode Runner II - The Bungeling Strikes Back"
ldrun3    "Lode Runner III - Majin No Fukkatsu"
ldrun4    "Lode Runner IV - Teikoku Karano Dasshutsu"
lotlot    "Lot Lot"
kidniki   "Kid Niki - Radical Ninja (US)"
yanchamr  "Kaiketsu Yanchamaru (Japan)"
spelunkr  "Spelunker"
spelunk2  "Spelunker II"
vigilant  "Vigilante (World)"
vigilntu  "Vigilante (US)"
vigilntj  "Vigilante (Japan)"
kikcubic  "Meikyu Jima (Japan)"
rtype     "R-Type (Japan)"
rtypepj   "R-Type (Japan prototype)"
rtypeu    "R-Type (US)"
bchopper  "Battle Chopper"
mrheli    "Mr. HELI no Dai-Bouken"
nspirit   "Ninja Spirit"
nspiritj  "Saigo no Nindou (Japan)"
imgfight  "Image Fight (Japan)"
loht      "Legend of Hero Tonma"
xmultipl  "X Multiply (Japan)"
dbreed    "Dragon Breed"
rtype2    "R-Type II"
rtype2j   "R-Type II (Japan)"
majtitle  "Major Title (Japan)"
hharry    "Hammerin' Harry (World)"
hharryu   "Hammerin' Harry (US)"
dkgensan  "Daiku no Gensan (Japan)"
poundfor  "Pound for Pound (World)"
poundfou  "Pound for Pound (US)"
airduel   "Air Duel (Japan)"
gallop    "Gallop - Armed police Unit (Japan)"
sichuan2  "Sichuan II (hack?) (set 1)"
sichuana  "Sichuan II (hack ?) (set 2)"
shisen    "Shisensho - Joshiryo-Hen (Japan)"
bmaster   "Blade Master (World)"
gunforce  "Gunforce - Battle Fire Engulfed Terror Island (World)"
gunforcu  "Gunforce - Battle Fire Engulfed Terror Island (US)"
hook      "Hook (World)"
hooku     "Hook (US)"
mysticri  "Mystic Riders (World)"
gunhohki  "Gun Hohki (Japan)"
uccops    "Undercover Cops (World)"
uccopsj   "Undercover Cops (Japan)"
rtypeleo  "R-Type Leo (Japan)"
majtitl2  "Major Title 2 (World)"
skingame  "Irem Skins Game, The (US set 1)"
skingam2  "Irem Skins Game, The (US set 2)"
inthunt   "In The Hunt (World)"
inthuntu  "In The Hunt (US)"
kaiteids  "Kaitei Daisensou (Japan)"
lethalth  "Lethal Thunder (World)"
thndblst  "Thunder Blaster (Japan)"
psoldier  "Perfect Soldiers (Japan)"
dsoccr94  "Dream Soccer '94"
reactor   "Reactor"
mplanets  "Mad Planets"
qbert     "Q*bert (US)"
qbertjp   "Q*bert (Japan)"
insector  "Insector (prototype)"
krull     "Krull"
sqbert    "Faster, Harder, More Challenging Q*bert (prototype)"
mach3     "M.A.C.H. 3"
usvsthem  "Us vs. Them"
3stooges  "Three Stooges"
qbertqub  "Q*bert's Qubes"
screwloo  "Screw Loose (prototype)"
curvebal  "Curve Ball"
crbaloon  "Crazy Balloon (set 1)"
crbalon2  "Crazy Balloon (set 2)"
qix       "Qix (set 1)"
qixa      "Qix (set 2)"
qixb      "Qix (set 3)"
qix2      "Qix II (Tournament)"
sdungeon  "Space Dungeon"
elecyoyo  "Electric Yo-Yo, The (set 1)"
elecyoy2  "Electric Yo-Yo, The (set 2)"
kram      "Kram (set 1)"
kram2     "Kram (set 2)"
zookeep   "Zoo Keeper (set 1)"
zookeep2  "Zoo Keeper (set 2)"
zookeep3  "Zoo Keeper (set 3)"
spaceskr  "Space Seeker"
junglek   "Jungle King (Japan)"
junglkj2  "Jungle King (Japan, earlier)"
jungleh   "Jungle Hunt (US)"
alpine    "Alpine Ski (set 1)"
alpinea   "Alpine Ski (set 2)"
timetunl  "Time Tunnel"
wwestern  "Wild Western (set 1)"
wwester1  "Wild Western (set 2)"
frontlin  "Front Line"
elevator  "Elevator Action"
elevatob  "Elevator Action (bootleg)"
tinstar   "Tin Star, The"
waterski  "Water Ski"
bioatack  "Bio Attack"
hwrace    "High Way Race"
sfposeid  "Sea Fighter Poseidon"
kikstart  "Kick Start Wheelie King"
bking2    "Birdie King 2"
gsword    "Great Swordsman"
lkage     "Legend of Kage, The"
lkageb    "Legend of Kage, The (bootleg set 1)"
lkageb2   "Legend of Kage, The (bootleg set 2)"
lkageb3   "Legend of Kage, The (bootleg set 3)"
retofinv  "Return of the Invaders"
retofin1  "Return of the Invaders (bootleg set 1)"
retofin2  "Return of the Invaders (bootleg set 2)"
tsamurai  "Samurai Nihon-ichi (set 1)"
tsamura2  "Samurai Nihon-ichi (set 2)"
nunchaku  "Nunchackun"
yamagchi  "Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun"
flstory   "FairyLand Story, The"
flstoryj  "FairyLand Story, The (Japan)"
gladiatr  "Gladiator (US)"
ogonsiro  "Ohgon no Siro (Japan)"
lsasquad  "Land Sea Air Squad / Riku Kai Kuu Saizensen"
storming  "Storming Party / Riku Kai Kuu Saizensen"
tokio     "Tokio / Scramble Formation"
tokiob    "Tokio / Scramble Formation (bootleg)"
bublbobl  "Bubble Bobble"
bublbobr  "Bubble Bobble (US with mode select)"
bubbobr1  "Bubble Bobble (US)"
boblbobl  "Bobble Bobble"
sboblbob  "Super Bobble Bobble"
kicknrun  "Kick and Run"
mexico86  "Mexico 86"
kikikai   "KiKi KaiKai"
rastan    "Rastan (World)"
rastanu   "Rastan (US set 1)"
rastanu2  "Rastan (US set 2)"
rastsaga  "Rastan Saga (Japan)"
rainbow   "Rainbow Islands"
rainbowe  "Rainbow Islands (Extra)"
jumping   "Jumping"
arkanoid  "Arkanoid (World)"
arknoidu  "Arkanoid (US)"
arknoidj  "Arkanoid (Japan)"
arkbl2    "Arkanoid (Japanese bootleg Set 2)"
arkatayt  "Arkanoid (Tayto bootleg, Japanese)"
arkbloc2  "Block (Game Corporation bootleg)"
arkangc   "Arkanoid (Game Corporation bootleg)"
arkatour  "Tournament Arkanoid (US)"
superqix  "Super Qix"
sqixbl    "Super Qix (bootleg)"
superman  "Superman"
minivadr  "Minivader"
extrmatn  "Extermination (US)"
arkanoi2  "Arkanoid - Revenge of DOH (World)"
ark2us    "Arkanoid - Revenge of DOH (US)"
ark2jp    "Arkanoid - Revenge of DOH (Japan)"
plumppop  "Plump Pop (Japan)"
drtoppel  "Dr. Toppel's Tankentai (Japan)"
chukatai  "Chuka Taisen (Japan)"
tnzs      "NewZealand Story, The (Japan)"
tnzsb     "NewZealand Story, The (World, bootleg)"
tnzs2     "NewZealand Story 2, The (World)"
insectx   "Insector X (World)"
kageki    "Kageki (US)"
kagekij   "Kageki (Japan)"
raimais   "Raimais (Japan)"
fhawk     "Fighting Hawk (Japan)"
champwr   "Champion Wrestler (World)"
champwru  "Champion Wrestler (US)"
champwrj  "Champion Wrestler (Japan)"
kurikint  "Kuri Kinton (World)"
kurikina  "Kuri Kinton (prototype?)"
plotting  "Plotting (World)"
puzznic   "Puzznic (Japan)"
horshoes  "American Horseshoes (US)"
palamed   "Palamedes (Japan)"
cachat    "Cachat (Japan)"
tubeit    "Tube-It"
cubybop   "Cuby Bop"
plgirls   "Play Girls"
plgirls2  "Play Girls 2"
masterw   "Master of Weapon (World)"
nastar    "Nastar (World)"
nastarw   "Nastar Warrior (US)"
rastsag2  "Rastan Saga 2 (Japan)"
crimec    "Crime City (World)"
crimecu   "Crime City (US)"
crimecj   "Crime City (Japan)"
tetrist   "Tetris (Japan, B-System)"
viofight  "Violence Fight (World)"
ashura    "Ashura Blaster (Japan)"
ashurau   "Ashura Blaster (US)"
hitice    "Hit the Ice (US)"
rambo3    "Rambo III (set 1, Europe)"
rambo3a   "Rambo III (set 2, US)"
puzbobb   "Puzzle Bobble (Japan, B-System)"
qzshowby  "Quiz Sekai wa SHOW by shobai (Japan)"
spacedx   "Space Invaders DX (Japan)"
silentd   "Silent Dragon (World)"
finalb    "Final Blow (World)"
finalbj   "Final Blow (Japan)"
dondokod  "Don Doko Don (Japan)"
thundfox  "Thunder Fox (Japan)"
cameltry  "Camel Try (Japan)"
cameltru  "Camel Try (US)"
qtorimon  "Quiz Torimonochou (Japan)"
liquidk   "Liquid Kids (World)"
liquidku  "Liquid Kids (US)"
mizubaku  "Mizubaku Daibouken (Japan)"
quizhq    "Quiz HQ (Japan)"
ssi       "Super Space Invaders '91 (World)"
majest12  "Majestic Twelve - The Space Invaders Part IV (Japan)"
gunfront  "Gun & Frontier (World)"
gunfronj  "Gun Frontier (Japan)"
growl     "Growl (World)"
growlu    "Growl (US)"
runark    "Runark (Japan)"
mjnquest  "Mahjong Quest (Japan)"
